privacy_clause,security_clause,termination_clause,liability_clause,country_risk,penalty_amount,document_length,risk_score,risk_level
1,0,0,0,0.08779062571884255,880312.1967498171,13168,83.14077632589994,Critical
0,0,1,1,0.5946178530910495,661228.3994434203,18903,84.60897444814746,Critical
0,1,1,0,0.5782156813730378,870278.3932967957,15269,79.22201483247179,Critical
0,1,0,1,0.4252145692666752,395390.7022511207,10621,65.07844464132508,High
1,0,1,0,0.829774641424093,33985.142624675005,6180,65.28117156271117,High
1,1,1,1,0.9428900613356926,576139.9633551028,9966,55.43608807763001,High
1,1,0,1,0.46533586191361076,339193.5027253723,3229,42.732775339188706,Medium
1,1,1,1,0.4561470509983997,448188.3759223533,10016,47.56219960206095,Medium
1,0,1,1,0.5020637296707448,681110.2139227488,15574,64.32351195537413,High
1,1,0,1,0.7231240308330615,700664.6670708717,17484,68.22294831490592,High
1,1,0,1,0.6680602906989623,27556.414865815394,13391,45.996527237015925,Medium
0,1,1,1,0.22283494920688707,769302.6728396135,2296,53.90440871521098,High
1,1,1,1,0.06389534859934332,493518.9149560789,9004,26.585585124104583,Medium
1,1,0,1,0.9492541298167894,556698.77332455,5699,60.64676148703885,High
1,1,1,1,0.2610697597337043,297994.18518985255,13840,40.10968312877439,Medium
1,1,1,1,0.6385966846905917,420833.786000581,1162,42.01340978815793,Medium
1,1,1,1,0.8284380027437224,710375.1339793317,6277,51.20289434673413,High
1,0,0,0,0.3002767505471863,776713.8029442586,16269,81.95734624394606,Critical
0,0,1,1,0.6354334136569287,387106.18116797804,9186,81.70795726391133,Critical
0,1,0,0,0.10790024114922492,691117.5326513301,19931,77.19098744400864,Critical
0,0,1,1,0.9699314443756607,258043.50168843803,2694,82.06444188248099,Critical
0,1,1,0,0.058158275050625874,832022.6651775152,2231,60.65783087506653,High
1,1,0,1,0.4381746738409763,609814.2389073652,12325,52.55510506822164,High
0,1,0,1,0.5368192420600233,775186.516066895,19785,66.02387667004862,High
1,1,1,1,0.790481778663364,477154.85231784737,4927,41.89498903193542,Medium
1,1,1,1,0.12112851707242123,229109.28498195525,17659,38.35757673827128,Medium
1,1,0,1,0.44080797385517656,429231.11331364396,12207,52.61499264377826,High
1,1,1,1,0.29971156954345235,381485.3944783207,17325,40.28780324075831,Medium
1,1,1,1,0.31201071569334005,332716.5434401591,3548,32.088782311140754,Medium
1,1,1,1,0.7787879160652509,212173.74774147835,910,43.17656448886211,Medium
0,1,0,1,0.005460945031833142,759167.1418798062,8800,61.053214445041995,High
1,1,0,1,0.7490836413359663,86351.6613205605,8169,57.536379025322006,High
1,1,0,1,0.8103984301231062,887560.9298858339,15256,72.09444657359663,High
1,1,1,1,0.901362243842069,175024.7228977535,6368,46.50053356051567,Medium
1,1,1,1,0.6268818032304835,979873.6518515412,19820,58.56918652900974,High
0,1,1,1,0.3334553282722412,988468.0480870743,8578,60.723429722500214,High
1,1,1,1,0.4272347325488707,398387.04124115175,11151,41.33394990347581,Medium
0,0,1,0,0.9697360822874292,987821.072632263,2226,100.0,Critical
0,0,1,1,0.8811868264358522,869068.5172807263,983,88.66915359287174,Critical
1,0,1,1,0.463525909099442,82430.2769466656,7463,47.9137283939887,Medium
1,1,1,1,0.9430630071109224,947328.5636286181,18223,64.97291268313242,High
0,1,1,1,0.822954875406459,42514.38590459422,1106,64.42479859446368,High
1,0,0,1,0.9010898616597948,181914.29373910718,5761,65.73920971399305,High
1,1,1,1,0.682977234575921,584595.5408466744,11129,48.63854398401949,Medium
0,1,1,1,0.857654043461995,80737.1784000136,7430,55.51827870803361,High
1,1,1,1,0.8917661413343257,161727.7569893689,12522,48.395313022798334,Medium
1,1,0,1,0.09201658454067141,953491.7871122387,9126,51.906320875094764,High
1,0,1,1,0.9652169766606585,994687.8848876081,19945,76.57789954445991,Critical
0,1,1,1,0.3336130987640633,798136.5417802973,2317,52.18359792759099,High
1,1,1,0,0.43989950958335544,515209.3914647028,5221,58.27831339561616,High
1,1,1,1,0.7919037591928153,900300.9356916753,17835,59.452188539755575,High
1,1,0,1,0.6648963055724977,111898.7708835687,3306,53.32479656838549,High
1,1,1,1,0.8930599124360573,942891.8692450089,9567,62.37820000302631,High
1,1,1,1,0.40057375077677215,351552.9274554322,14853,35.484999168092415,Medium
1,1,1,1,0.3732881636761586,861489.3912331945,5280,47.676707441897115,Medium
1,1,1,1,0.031688849541319675,668373.405985391,3794,29.597387287950124,Medium
0,1,1,0,0.4627253766696581,960274.304055722,7365,72.02550168606265,High
1,1,1,1,0.7240707703291087,864677.9477958182,15079,58.94170395779109,High
1,1,0,1,0.30117871762621606,887897.8135509061,12109,48.1660109322336,Medium
1,1,0,1,0.46272651367384143,631754.3561200305,19829,51.57136526159755,High
0,1,0,1,0.21939776848527803,833158.5309762758,4717,62.26272917243374,High
1,0,1,1,0.7727878058714607,757131.1507613385,8032,60.99474766727988,High
0,0,1,0,0.0605115613411471,161623.13090388724,7993,68.21149237528627,High
1,1,1,0,0.7053830550004982,648596.891353243,3387,58.10229330539349,High
1,1,1,1,0.3789400117449835,148175.54652015862,9824,35.21565853221473,Medium
1,1,1,1,0.04159606938712079,869456.12188553,19767,46.56861271893005,Medium
1,1,0,0,0.8534695872917858,65949.79933996848,18029,63.98899882364414,High
1,1,1,1,0.48772186318116517,987046.6701932753,2618,42.04504979958818,Medium
1,0,0,1,0.5993189696161291,400626.6661377115,18082,68.70136523939539,High
1,1,1,1,0.7320306915244569,170629.3537014356,12238,40.548926118982486,Medium
1,0,1,1,0.6550744330011887,935674.983661223,2244,65.95145151244184,High
1,1,1,1,0.7308568708146116,45425.98622984795,10451,48.055963489994895,Medium
0,1,1,1,0.7622816845778577,470105.63450898346,19974,73.27336429722303,High
1,1,1,1,0.5891515305646109,770227.1279245026,11856,47.19815610278676,Medium
1,1,0,1,0.3656378309077567,316750.475431701,12172,43.19093781665732,Medium
0,1,0,1,0.24314214971634263,528834.6699028012,17875,59.82294709718044,High
1,1,1,1,0.9029032366527872,700413.016313802,1086,54.76224555620181,High
1,1,1,1,0.9699248446382203,951976.4210013208,3986,59.37432641836496,High
1,1,0,1,0.3576627550982089,102702.63927102996,5274,42.114103719371656,Medium
1,1,0,1,0.11231072907230022,157226.70371491977,16596,37.16745080693431,Medium
0,1,1,1,0.22253732711643126,508870.8951940669,4383,49.96113644294567,Medium
0,1,0,1,0.6706673459871896,418474.9611500469,4686,77.02312533959397,Critical
1,1,1,1,0.17293336995833075,410796.1606836664,8556,37.82833061109456,Medium
0,1,1,1,0.7801222730609881,296961.5029361532,16223,72.51366023411752,High
0,1,1,1,0.9230302398747136,560684.7985089561,3693,67.83891856889889,High
1,1,1,1,0.9636515150788472,883288.3361657162,11098,55.39500874138826,High
0,1,1,1,0.00932550597489068,160924.34053786387,6484,30.84255595499886,Medium
1,1,1,1,0.9581541649544166,215286.32949575764,4541,50.75293604917933,High
0,1,1,1,0.7401944191296177,670823.4977995857,3252,58.64202959869447,High
0,1,0,1,0.08405023226380226,56197.65428730417,17302,59.270728565564205,High
1,0,0,1,0.41524046877872645,673764.1995630065,19118,70.3206145084479,High
1,1,1,1,0.700045474579509,314456.15086333733,13889,44.59135374440409,Medium
1,1,1,0,0.9566854926610493,357853.93140001496,8249,63.236441223175454,High
1,0,1,1,0.16414139361139257,405549.37382290023,17694,50.60376782449542,High
0,1,1,1,0.127733281926954,349587.5614917149,8154,49.18997148365947,Medium
0,0,1,1,0.47234705326187854,841209.6212795322,19788,79.07057462462639,Critical
1,1,1,1,0.9680988937384892,946068.457400309,3274,59.896342496001104,High
1,1,1,1,0.9713792152580105,548011.4753161884,18537,59.27583399252226,High
1,0,1,1,0.22791474105290932,581878.4988349393,6285,51.81063346511665,High
1,1,1,1,0.31934714797145736,70483.10801343517,16581,27.097112200085085,Medium
1,1,0,0,0.9080319856446545,713191.9283610006,7443,75.2816354362468,Critical
1,1,1,1,0.7348414908520642,584098.872964084,4898,52.76882679152049,High
0,1,1,0,0.9723164286576182,50394.523807600344,2475,79.62004556719408,Critical
1,1,1,1,0.8931483630155543,198425.66707170327,14925,55.47716618482448,High
1,1,1,0,0.21509605031374335,201943.42039256275,11301,45.499804960672186,Medium
1,1,1,0,0.7597268594126834,170967.95194335922,12989,55.15492503296352,High
1,1,0,0,0.048565231560116606,658645.9546227771,10383,61.21146554854311,High
0,1,1,1,0.817832778741474,928439.6153557689,5714,69.46683527604351,High
0,1,0,0,0.6015567624446081,762975.3253583594,8258,83.66494453680396,Critical
1,1,1,0,0.9561009626364617,477373.4852139132,17709,69.28974196758196,High
1,0,1,1,0.9600324554690784,404051.2979844819,12784,58.589582556329006,High
1,1,1,1,0.050815109024355265,386458.10530922253,17313,31.544497269187588,Medium
1,1,1,1,0.16052148555576784,601246.957695825,4413,34.38380275740713,Medium
1,1,1,1,0.4842070473186916,359220.65894453635,4221,37.989178512196176,Medium
1,1,0,1,0.8794935249461492,226121.97118871714,1881,55.24165303755508,High
1,1,1,1,0.8144451422960564,602842.9065755829,14627,59.054013402278095,High
1,0,1,1,0.9643700263517787,390705.41342757316,2255,59.03483924489042,High
1,1,0,1,0.6180841171113408,14124.829143833838,11441,50.269556909151525,High
0,0,1,1,0.2565635195616206,22231.11356677454,14949,63.04667364810966,High
1,1,1,1,0.02510663950517733,274136.6111544183,4171,32.33692641070926,Medium
1,1,1,1,0.22292649072054893,512422.1995068637,16185,38.640312830037274,Medium
1,1,1,1,0.6752731979536246,354239.5076679887,14108,47.79526976408562,Medium
0,1,1,1,0.9262748233430131,24055.15238755196,3411,59.32082325186347,High
1,1,1,1,0.3209036673082648,223151.7637532404,6393,34.232690720919216,Medium
1,1,1,1,0.8757043302892954,96419.30867461613,1918,43.870122485535596,Medium
0,1,1,1,0.3948982483411565,948632.0013614165,4982,55.564719593804654,High
1,0,1,1,0.3082712493685503,312834.0756285265,5563,49.982975512494676,Medium
1,0,1,1,0.5088442428058181,14766.371595495875,18836,53.63614536078516,High
1,1,1,1,0.4422734924096152,660563.2519856635,2530,39.27820152905826,Medium
1,1,0,1,0.9137998685170181,232447.94050781714,17862,61.82772558458859,High
1,1,1,0,0.4682569474081265,566736.2550310041,17645,61.782240985764766,High
1,1,0,1,0.2773353872230755,150745.45460948785,6406,39.58545199869907,Medium
1,0,1,1,0.8425655775019036,984013.2351224646,16124,81.7764862162995,Critical
0,1,1,0,0.9987495116595667,970259.186565333,17018,96.74142250200424,Critical
1,1,1,0,0.6481714191813239,655983.3516903059,3120,55.81970672630525,High
1,1,0,0,0.2504613689363586,707202.6218220608,3073,57.43805432743764,High
1,1,1,1,0.23881507701317928,425878.89129165135,19189,36.448802438696134,Medium
1,1,0,1,0.05770669621525981,962179.3454181688,14217,44.337310424161615,Medium
1,1,0,0,0.07729303851408487,423739.62037120096,7087,48.34147310216736,Medium
1,1,1,0,0.9149830951827624,239467.99740806024,19232,54.502077958335235,High
1,1,1,1,0.09648710704955055,115378.609603904,15898,30.67989957650431,Medium
1,1,1,1,0.4843438482767788,208125.3003143856,6844,39.900928886731386,Medium
1,1,1,1,0.6981217796931782,572213.503928722,11944,42.78433925695554,Medium
1,1,1,1,0.8503547827736031,245091.71793929907,17264,43.175538174537316,Medium
1,1,0,1,0.1712709502537273,654249.4284475447,10508,46.444619664171384,Medium
1,1,1,1,0.43777867912535684,382184.51988504664,13985,40.50877205565663,Medium
0,1,1,1,0.2514801950137775,886872.9054172443,12082,62.64290022082197,High
1,1,1,1,0.25582308996660164,558478.0674655774,18022,36.55109432129924,Medium
1,1,0,1,0.30383930748667587,622604.053101276,17025,48.52526883391251,Medium
1,1,1,1,0.5871162144184673,556559.8029926771,5123,44.75925531313967,Medium
0,1,0,1,0.016577471685588208,885568.7741910242,5767,64.89088763800603,High
0,1,0,1,0.4087662863155279,63419.56792919135,18408,66.82274993660289,High
1,1,1,1,0.18683013523279257,67348.70709074514,14198,25.427214819315612,Medium
1,1,1,1,0.9671185085126348,701740.2449247484,6903,60.87522123079056,High
0,0,1,1,0.5827291592503103,767963.9020481784,13748,75.99487922103046,Critical
1,0,1,1,0.8680954688303226,433589.41828196787,2555,56.64266027297994,High
1,1,0,1,0.19568998676961202,352305.2080542634,3875,42.02526969245023,Medium
1,1,1,1,0.8100156993237878,277945.06620541314,15090,53.22313277641827,High
1,1,1,1,0.41478246130523333,234394.88583354774,3874,33.956319891423576,Medium
0,1,1,1,0.17769468884940243,911958.5896786052,12562,60.667723660725635,High
0,1,1,1,0.7612452023882328,295139.54636117246,6739,56.99720508940147,High
1,0,1,0,0.762011097615281,648078.7958111967,12909,79.56526165218911,Critical
1,1,1,1,0.995887906864061,787094.7803836222,12816,63.56979436065372,High
1,0,0,1,0.780937261798164,21966.578447580876,7838,68.17294197619421,High
1,1,1,1,0.14526724792712786,33874.1498831866,16917,27.76722528348742,Medium
0,1,1,1,0.32254474178572823,333137.40463736927,16047,49.76463022580845,Medium
0,1,0,0,0.451726917291146,696015.7443137032,2044,78.21055676761105,Critical
0,1,0,1,0.1266528057097951,260798.6352623497,10872,58.99635895114804,High
1,1,1,0,0.788038974447814,1483.2904322502616,17411,55.55920035744392,High
1,1,1,1,0.5266985379125865,288147.899943917,3758,31.73287774165922,Medium
1,1,1,0,0.9444495690957535,90130.81664351275,6827,59.71282400965894,High
0,1,1,1,0.5893081445258203,219413.3057923232,17779,57.40688978717004,High
1,1,0,0,0.5228990837382539,333190.0006992976,6013,63.11651651895907,High
1,1,1,1,0.07142515293286433,128057.35506875181,5580,24.61063435549917,Low
1,1,0,1,0.14934590494457778,706364.7274476599,2026,44.41592017990092,Medium
1,1,1,1,0.8495260767641512,255920.2320061883,1103,48.777801932033604,Medium
1,1,1,1,0.9906759778258083,661094.7993049624,9494,66.12213560129281,High
1,1,1,1,0.4151791358982695,599032.8528211693,1585,39.07194773592776,Medium
1,0,1,1,0.8100860837249291,898045.487693736,18964,77.42404478138864,Critical
1,1,1,1,0.6275857663306518,87933.17234466925,17026,35.836354841952584,Medium
1,1,1,1,0.9590592736717136,214608.11136366476,10077,49.418316594256616,Medium
1,1,1,1,0.23813723544409326,865178.429043976,12910,41.06996523509339,Medium
1,0,0,1,0.544835743007943,822131.4563856932,10213,68.74619108881913,High
1,1,1,1,0.4087958183425956,192105.5571820507,5734,36.55417620939828,Medium
1,1,0,1,0.5417159759430152,107736.01194612414,18792,53.71889149878806,High
1,1,1,1,0.2688580834188552,856241.4646201938,1253,41.90536422527403,Medium
1,1,0,1,0.497746162715744,178138.05682470475,15200,49.319404269432866,Medium
0,1,0,1,0.6248041467247651,871109.7060707952,4859,73.10479009922592,High
1,1,1,1,0.08121588399949209,961114.6993777406,18144,46.59950574986245,Medium
1,1,0,1,0.7429872548076232,220806.6385756704,2033,54.00033947280748,High
1,0,1,1,0.7065229631604173,840387.599920955,2094,64.08998367728935,High
1,1,0,1,0.8804576014514852,423831.08998226305,4420,66.88336998527126,High
1,1,1,1,0.42585655180992554,788778.4247534958,3746,33.01080205904966,Medium
1,1,1,1,0.06166913261471774,407395.54097884323,18479,32.473279356099326,Medium
0,1,1,1,0.4614611290216869,70395.59873371692,3740,49.59127240179514,Medium
1,1,1,1,0.13760917206196144,712695.2726136643,7719,44.55894876189102,Medium
0,1,1,0,0.6474468135218178,150688.63990357905,3799,65.62470106863894,High
1,1,0,1,0.047131524131305835,927025.0893166991,2879,43.48979892998186,Medium
0,1,0,1,0.37399640622769514,417746.28302070126,3435,63.38273934631469,High
1,1,1,1,0.08284289848749538,82000.14790957955,8000,14.147950850101351,Low
1,0,0,1,0.003366434071603308,228480.01477399436,598,41.312115077458905,Medium
1,1,0,1,0.9605572239015918,862517.6174676946,15928,63.4018451822198,High
1,1,1,1,0.9961273480262802,321085.46962415316,7658,50.97944875763481,High
1,1,1,1,0.5555029515318131,856327.9949796895,5886,49.80089624345524,Medium
1,1,1,1,0.2389558499454839,172286.73839214892,18481,38.21735321405768,Medium
1,1,0,1,0.9110990368086574,468218.1235772945,15999,65.68740067599096,High
1,0,0,1,0.9230365970761066,878259.4917866163,6020,81.32652727450109,Critical
1,1,1,1,0.8545088911707059,48404.83232325654,16270,46.07023423538382,Medium
0,1,1,0,0.5443699845673821,304277.18277962046,19776,72.22533715813239,High
0,1,0,1,0.07470216089602744,909851.5894387858,3681,64.13445640972668,High
0,1,0,0,0.08843892753679783,596526.3277080432,9547,68.788950546805,High
1,1,0,0,0.8966197877126552,716232.1310221347,19345,82.78314298249154,Critical
1,1,1,0,0.8758268474572294,842128.4385924074,19963,70.82493098375929,High
0,0,1,0,0.4343972491812177,523596.42626911675,6439,79.31681714369647,Critical
1,1,1,0,0.3281546194764253,845365.9010216,4473,53.801827354898,High
0,1,1,1,0.6441239201441021,638764.5706684082,5946,66.45097617163839,High
0,0,0,1,0.8069879482555249,685650.4505635021,2473,87.3124182955987,Critical
0,1,1,1,0.731684942051821,152854.45516813945,4873,53.73711329125123,High
1,1,0,1,0.6156029380507063,939018.8292347039,12866,63.20553917652372,High
1,1,1,1,0.2315110444448314,796084.3504349156,16796,46.060268055987045,Medium
0,1,0,1,0.26250486922071514,254195.9961471495,17583,57.41465271186763,High
1,1,1,1,0.7240674813977017,579994.6663830531,18534,55.391091095962544,High
1,0,1,0,0.8026198524510311,376465.9048611611,15288,80.34138180438431,Critical
1,1,1,1,0.11613518809958989,660401.9988099115,8352,36.07405567078809,Medium
0,1,1,1,0.18729704771130606,993746.8432024701,7277,61.15738292570618,High
1,1,0,1,0.6804702621773714,45746.39714364515,1176,45.899970873790345,Medium
1,0,1,1,0.38898658747140114,952523.6379636246,8913,67.26636686688316,High
1,1,1,0,0.5632928672710307,72391.33214365023,13558,56.529188893245504,High
1,1,0,1,0.6148149526556361,460764.635840778,7230,59.82058375853638,High
0,1,0,1,0.7762034672673319,482109.2005934361,6589,75.86514059982434,Critical
1,1,1,1,0.8057169507169075,268724.45459980855,5329,40.465936199315934,Medium
1,0,0,1,0.2800962452614565,566699.2860596864,5841,64.60453971478006,High
0,0,1,1,0.5412967289221713,833964.146338627,11344,84.55668173258441,Critical
1,1,1,1,0.12352393862188027,293962.1812112731,620,17.22813782621036,Low
1,1,1,1,0.8420151686975487,70404.93765213763,16525,48.12418177851858,Medium
1,1,1,1,0.8454479383331956,632283.7006412623,3950,53.24697692286831,High
1,1,1,0,0.29950571899945644,751745.1291482517,11898,51.116690311592905,High
1,1,1,1,0.16062020742204253,954523.00979607,11623,33.58223595817958,Medium
0,1,1,1,0.07009177820026657,159524.64684338297,16854,41.5516448671982,Medium
0,1,0,1,0.5749764419115859,901359.8658048053,10814,77.59848351872648,Critical
0,0,1,1,0.09142810039987981,482123.4771891124,6230,58.58672028662256,High
0,1,0,0,0.6805948446205999,235758.23702404153,12088,86.77471016945096,Critical
1,0,0,1,0.6781264010341463,962748.4701962695,7939,78.4920671010224,Critical
1,1,1,0,0.6139874071316246,238429.27053632302,2622,52.122083207104026,High
0,1,1,1,0.8765605018630944,733444.1857359319,15753,70.78504355173786,High
1,0,1,1,0.3782806927291318,784886.7784041293,2808,55.78593832563424,High
1,1,0,1,0.9022695826245776,430519.05242391187,3783,58.970493456482465,High
0,1,1,1,0.036925368846130846,689984.8447269452,9489,48.53046428807189,Medium
0,1,1,1,0.11275698792140754,572477.075029251,12248,48.26515336106863,Medium
1,1,0,1,0.4122055625184433,192032.75243311768,18451,45.52151361690259,Medium
1,0,1,1,0.5939930186885735,759887.8821135384,863,64.15577281960564,High
1,0,1,1,0.0323756366393656,928016.1448364344,14902,52.98924509583203,High
1,1,1,1,0.5674344714242641,488638.0547191401,8670,47.51696380310145,Medium
1,1,0,1,0.3073983164830314,994310.2540667581,17266,57.31768919092638,High
1,1,0,1,0.8871468078118292,427965.3135348607,13022,58.66948762872064,High
1,1,1,1,0.5332845916687309,479736.575671427,19085,40.56457023283754,Medium
1,1,1,1,0.5878939082174337,673897.5139736347,15871,48.67892495069735,Medium
1,1,0,1,0.9456218111148833,185770.1442243438,5656,62.0129046904411,High
1,1,0,1,0.7641710266545936,901946.0099472064,12445,71.87467285583517,High
1,1,0,1,0.43827326614676565,801272.7971394672,10913,63.15496354198029,High
0,1,1,1,0.4768796149560194,872417.2863917794,7892,66.31299316428476,High
1,1,0,0,0.6479238685593989,609558.5795040875,2702,75.09637272184028,Critical
1,1,1,0,0.2001992166505131,883747.961179493,17402,51.35273161610877,High
1,0,1,0,0.08865084049412264,679972.4872780552,17119,65.49144919386646,High
0,0,0,1,0.3112365159456184,511560.89978575957,4893,73.58766294243878,High
1,1,1,1,0.7783827979362303,931790.8039847157,18151,59.83686039068939,High
1,1,0,1,0.25732379876995104,439719.76882150135,19054,51.786888244530616,High
1,0,1,1,0.1307592003359197,500569.8554918739,10207,46.405464584551446,Medium
1,0,0,1,0.21902259846226024,169543.73082674967,16526,58.7476316391316,High
1,0,1,1,0.6789729120057063,947659.0098589604,11037,69.31701158635906,High
1,1,1,1,0.6139480566935188,221052.8084623057,10669,42.39523557071281,Medium
1,0,1,1,0.6883149972964362,201415.92419166665,13852,58.066007224459184,High
1,1,1,1,0.32195812268038204,101194.60423117077,9980,26.77275033784671,Medium
0,1,0,1,0.9008561269332717,453359.45115196885,3679,80.98219181566871,Critical
1,0,1,1,0.4517703573281454,273614.5498780829,5845,53.6524171764661,High
1,1,1,0,0.5137130319269436,740781.0005314429,1697,58.891273926131234,High
0,0,1,1,0.9488079760021272,307521.62020405335,6981,85.65161386586978,Critical
1,1,0,1,0.9792772679449756,720770.2617243944,2128,69.830534125138,High
1,0,1,1,0.6615427259165517,195961.08277628967,12908,51.58366097831615,High
1,1,1,1,0.9448131925757911,229965.8434000832,16046,55.902493441076004,High
1,0,1,1,0.5415073863404433,806174.1604415053,19785,66.70007490860799,High
0,1,0,1,0.3072829455667717,371093.5519247639,10243,61.37848065464512,High
0,1,1,1,0.31509285596654135,111773.97560469282,3488,47.70359793665565,Medium
1,1,1,1,0.5589405898823455,961403.8050884081,9235,52.251571532955325,High
1,1,0,1,0.6050361206551984,177392.1564436114,15954,48.95881848953528,Medium
1,1,1,1,0.4396170699197489,150197.1186619574,11869,31.298784270667497,Medium
1,1,1,1,0.8837714835118439,358382.0633516198,1493,34.857622479810615,Medium
1,1,0,0,0.4266961187135505,95633.7692313235,13668,61.04379081155007,High
1,1,1,1,0.27342364699766786,155616.37595116883,10223,40.38606009796617,Medium
1,1,1,0,0.007981878343539806,846444.5975349495,3503,43.676204548256536,Medium
1,0,1,1,0.9705692781576368,171506.85570966863,13078,69.53394894743562,High
1,1,0,1,0.8243132831429444,111426.81366253838,4926,49.98725026705673,Medium
0,1,1,1,0.615559584685329,879957.5368812622,4015,62.58793613433313,High
1,1,1,0,0.8305422539034614,443796.508112435,18456,69.0731746382348,High
1,1,1,1,0.8102892302509439,157162.9414124275,6153,41.0860800855169,Medium
1,1,0,0,0.9318507802258251,581517.4305045195,18816,77.14977641676838,Critical
1,1,1,1,0.3860676833603749,41505.83987591883,1411,29.187930860428732,Medium
1,0,1,1,0.5548522420859408,427382.55462955456,4911,55.56619182577056,High
1,1,1,1,0.09862802372024593,590313.8263753435,13853,39.059916327577824,Medium
0,1,1,1,0.9653154257189731,957120.0302613087,15114,72.50572564040368,High
1,1,0,1,0.9851270692824998,326464.7637847401,12003,60.997028990574115,High
1,1,1,1,0.7890842479312017,765051.0965364443,7513,49.906585907719936,Medium
1,1,0,1,0.4541209831483368,132699.8139051293,17039,39.52207973679867,Medium
1,1,1,1,0.49656675091435765,433582.35003399994,9620,42.66153452457644,Medium
0,1,0,1,0.435366932987857,223134.72988046877,7387,60.47619001636036,High
1,1,1,1,0.29331063652223044,492467.8358763742,12173,26.15284031128992,Medium
1,1,1,1,0.5277914055487666,417231.8588658784,10727,44.37259978768834,Medium
1,0,0,1,0.05344506950056682,979785.0499599134,5956,64.31544404460243,High
1,1,0,1,0.9918870619371684,917497.9979206447,19613,71.47775238008896,High
1,1,1,0,0.4240501351641408,582205.8996660374,7398,48.5104565285019,Medium
1,1,1,1,0.9273665840371063,176509.7779151199,15193,49.53918124307428,Medium
1,1,1,0,0.7242714606600036,556956.991421886,18581,74.11861568100775,High
1,0,0,1,0.28994291686393403,792082.2783237724,9569,65.59676459281312,High
1,1,1,1,0.22205261817460242,38027.11197730691,19199,28.41730518826053,Medium
1,1,1,1,0.9956754337623562,434029.3486548233,11687,52.580165806493376,High
1,0,1,1,0.7721263550540357,42646.914829454596,17998,53.698836050588106,High
1,1,0,1,0.24966147414934092,243957.93754792382,18203,49.52228463506769,Medium
1,1,1,1,0.0674450481772606,92114.65960092869,11702,21.788607115425247,Low
1,1,1,1,0.6969165453013787,960578.2822250824,856,46.29445551927958,Medium
0,1,1,1,0.30301645681107636,168828.6527803552,7665,44.831199082678836,Medium
1,1,1,1,0.22133081262771737,150103.88233625193,14689,37.23828107936574,Medium
1,0,1,1,0.7349374151493361,972054.9664709591,10032,73.51096511723193,High
1,1,0,1,0.6792613226543476,515967.2903030734,19783,58.49522639470204,High
1,1,0,0,0.4814126747601911,757985.0314045474,1519,63.93996589467695,High
1,1,1,1,0.9426559327703732,327314.65116953506,6945,47.775814029624,Medium
1,1,0,1,0.6796383660574911,532860.7059348555,13371,55.95299520411659,High
